taxon,lfc_aridityMargin,lfc_aridityHyperarid,lfc_aridityHyperarid_aridityMargin,se_aridityMargin,se_aridityHyperarid,se_aridityHyperarid_aridityMargin,W_aridityMargin,W_aridityHyperarid,W_aridityHyperarid_aridityMargin,p_aridityMargin,p_aridityHyperarid,p_aridityHyperarid_aridityMargin,q_aridityMargin,q_aridityHyperarid,q_aridityHyperarid_aridityMargin,diff_aridityMargin,diff_aridityHyperarid,diff_aridityHyperarid_aridityMargin,passed_ss_aridityMargin,passed_ss_aridityHyperarid,passed_ss_aridityHyperarid_aridityMargin,genus
Bacteria_Verrucomicrobia_Spartobacteria_Chthoniobacterales_Chthoniobacteraceae_DA101,0.11126067035126151,-1.5080099983025517,-1.6192706686538132,1.3286078011851508,1.6574488401050214,1.9056730076089703,0.08374229795430545,-0.909838036513392,-0.8497106597975571,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,DA101
Bacteria_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Nitrospira,0.1691107402904253,0,-0.1691107402904253,0.8519928139247618,0.49649294699459495,0.9861019224171563,0.19848845850166902,0,-0.17149417970497113,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Nitrospira
Bacteria_Actinobacteria_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_Solirubrobacter,0.9640442346459505,0,-0.9640442346459505,1.9481123848177668,0.49649294699459495,2.010384816470654,0.4948606877914441,0,-0.479532190428291,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Solirubrobacter
Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_AK1AB1_02E_NA,-0.17678134477781407,1.5068378878988917,1.6836192326767059,1.0287538416426034,3.515808695092936,3.5632863174385845,-0.1718402766744945,0.4285892716523532,0.4724905838852014,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,02E
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Curvibacter,0.5006445975604659,0.749200626366053,0.24855602880558714,1.6370394803508859,1.35304279473193,1.5937884332028898,0.3058231664963614,0.5537153956128102,0.15595296315840804,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Curvibacter
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Pelomonas,-0.9914702066184168,-3.1256493324707053,-2.1341791258522886,0.7510733094127613,2.2809712159370137,2.1743303220427,-1.3200711491047574,-1.3703151142951628,-0.9815339942678577,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Pelomonas
Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Allobaculum,-0.5794429589166905,-1.026144909538933,-0.4467019506222425,0.6357090877844869,0.6747132587835782,0.8302707669211922,-0.9114907589823991,-1.5208607451837262,-0.5380196056747867,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Allobaculum
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Geodermatophilaceae_Geodermatophilus,0.8870452586764879,0.2542319002516381,-0.6328133584248498,1.4137906867353527,1.5170072153590897,1.5246849369081616,0.6274233286433678,0.1675877989752732,-0.41504532714024367,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Geodermatophilus
Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Thermomonosporaceae_Actinomadura,-2.0181565951713094,2.17650341708282,4.194660012254129,1.3517878638724798,1.6331292192688933,1.8179815434611728,-1.4929536276423407,1.3327196595362982,2.3073171602546116,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Actinomadura
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Kaistobacter,0.4390206977577124,-2.4921038992246585,-2.9311245969823707,0.833187849382967,0.8560409817063857,0.9972287736472795,0.5269168268390345,-2.911196954913343,-2.939269979407064,0.6142804409220208,0.010268982630697593,0.021346629848931445,1,0.31423086849934634,0.6318602435283708,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Kaistobacter
