Taxon,Species,None,Ileocolonic,Colectomy
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_A.massiliensis,A.massiliensis,Presence,Absence,Absence
Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_B.breve,B.breve,Presence,Absence,Absence
Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_C.stercoris,C.stercoris,Presence,Absence,Absence
Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_S.equi,S.equi,Presence,Absence,Absence
Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Paraeggerthella_P.hongkongensis,P.hongkongensis,Presence,Absence,Absence
Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus_C.cateniformis,C.cateniformis,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_R.gauvreauii,R.gauvreauii,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoanaerobaculum_L.orale,L.orale,Presence,Absence,Presence
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_L.reuteri,L.reuteri,Presence,Absence,Absence
Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_D.D168,D.D168,Presence,Absence,Absence
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_L.iners,L.iners,Presence,Absence,Absence
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_human_h.gut metagenome,h.gut metagenome,Presence,Absence,Absence
Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_S.agalactiae,S.agalactiae,Presence,Absence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_R.bromii,R.bromii,Presence,Presence,Absence
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_B.caccae,B.caccae,Presence,Presence,Absence
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_A.putredinis,A.putredinis,Presence,Presence,Absence
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Morganella_M.morganii,M.morganii,Presence,Presence,Absence
Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Eggerthella_E.lenta,E.lenta,Presence,Presence,Absence
Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium_C.spiroforme,C.spiroforme,Presence,Presence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_C.lavalense,C.lavalense,Presence,Presence,Absence
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium_C.methylpentosum,C.methylpentosum,Presence,Presence,Absence
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_L.helveticus,L.helveticus,Presence,Presence,Absence
Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_L.delbrueckii,L.delbrueckii,Presence,Presence,Absence
