X1,X2,X3,X4
0.9444444444444444,0.02857142857142857,0.8333333333333334,0
1,0.02702702702702703,0.7777777777777778,0
0.9444444444444444,0,0.8055555555555556,0
0.8611111111111112,0,0.6666666666666666,0
1,0,0.9722222222222222,0
0.9722222222222222,0.6195652173913043,0.8333333333333334,0.6385542168674698
0.9166666666666666,0,0.7777777777777778,0
1,0,0.9166666666666666,0
0.9722222222222222,0,0.8888888888888888,0
0.9444444444444444,0,0.8333333333333334,0
1,0,0.9166666666666666,0
0.9722222222222222,0.027777777777777776,0.8333333333333334,0
1,0,0.9444444444444444,0
0.9722222222222222,0,0.8055555555555556,0
1,0,0.8611111111111112,0
1,0,0.8888888888888888,0
0.9722222222222222,0,0.8333333333333334,0
0.9722222222222222,0.027777777777777776,0.8055555555555556,0
0.9722222222222222,0.027777777777777776,0.7222222222222222,0
1,0.3333333333333333,0.8611111111111112,0.3673469387755102
0.9722222222222222,0,0.9444444444444444,0
1,0.02702702702702703,0.9722222222222222,0
0.9722222222222222,0,0.8611111111111112,0
1,0,1,0
0.9722222222222222,0.027777777777777776,0.8888888888888888,0
1,0,0.9166666666666666,0
1,0,0.8888888888888888,0
1,0,0.9444444444444444,0
0.9444444444444444,0,0.75,0
0.9444444444444444,0,0.8611111111111112,0
0.9166666666666666,0.6526315789473685,0.8333333333333334,0.6739130434782609
0.9722222222222222,0.027777777777777776,0.8888888888888888,0
1,0,0.9166666666666666,0
0.9722222222222222,0.5930232558139535,0.8888888888888888,0.6144578313253012
1,0,0.9166666666666666,0
1,0,0.8055555555555556,0
1,0,0.8888888888888888,0
0.9166666666666666,0.029411764705882353,0.8055555555555556,0
1,0,0.8611111111111112,0
1,0,0.9166666666666666,0
1,0,0.9722222222222222,0
1,0,0.9166666666666666,0
0.9444444444444444,0,0.7777777777777778,0
1,0,0.8333333333333334,0
1,0,0.9166666666666666,0
1,0,0.9166666666666666,0
1,0,0.9444444444444444,0
1,0.02702702702702703,0.8888888888888888,0
1,0,0.8611111111111112,0
0.9166666666666666,0.7659574468085106,0.8611111111111112,0.7769784172661871
1,0.12195121951219512,0.8333333333333334,0.0625
1,0,0.8611111111111112,0
0.9444444444444444,0,0.8333333333333334,0
1,0,0.8888888888888888,0
1,0.05263157894736842,0.8888888888888888,0
1,0,0.8055555555555556,0
0.9444444444444444,0,0.8611111111111112,0
1,0,0.9166666666666666,0
0.9444444444444444,0,0.8611111111111112,0
1,0,0.8611111111111112,0
1,0.42857142857142855,0.9444444444444444,0.4426229508196721
0.9722222222222222,0,0.9444444444444444,0
0.9166666666666666,0,0.8611111111111112,0
0.8888888888888888,0,0.8055555555555556,0
0.9166666666666666,0,0.8333333333333334,0
1,0,0.9444444444444444,0
0.9444444444444444,0.30612244897959184,0.8888888888888888,0.3191489361702128
1,0.14285714285714285,0.8333333333333334,0
0.9722222222222222,0.35185185185185186,0.8333333333333334,0.375
0.9722222222222222,0,0.9444444444444444,0
0.9444444444444444,0,0.8333333333333334,0
1,0,0.9444444444444444,0
1,0.02702702702702703,0.9166666666666666,0
1,0,0.9444444444444444,0
0.9722222222222222,0.027777777777777776,0.7777777777777778,0
1,0.14285714285714285,0.8888888888888888,0
0.9722222222222222,0,0.8888888888888888,0
1,0,0.8888888888888888,0
0.9722222222222222,0,0.8055555555555556,0
0.9722222222222222,0,0.8611111111111112,0
1,0,0.8055555555555556,0
1,0,0.8888888888888888,0
0.9166666666666666,0,0.8055555555555556,0
0.9722222222222222,0.027777777777777776,0.8888888888888888,0
0.9722222222222222,0.027777777777777776,0.8333333333333334,0
1,0,0.8333333333333334,0
0.8888888888888888,0.030303030303030304,0.8055555555555556,0
0.9444444444444444,0.1282051282051282,0.8888888888888888,0
0.9166666666666666,0,0.8333333333333334,0
1,0,0.8333333333333334,0
1,0.02702702702702703,0.8888888888888888,0
0.9166666666666666,0,0.9166666666666666,0
0.9722222222222222,0,0.8611111111111112,0
1,0,0.9166666666666666,0
1,0,0.8888888888888888,0
1,0,0.8055555555555556,0
0.9166666666666666,0.029411764705882353,0.8333333333333334,0
0.9722222222222222,0.05405405405405406,0.8611111111111112,0.06060606060606061
1,0,0.8611111111111112,0
0.9444444444444444,0,0.8611111111111112,0
0.987012987012987,0.012987012987012988,0.922077922077922,0
1,0.01282051282051282,0.8571428571428571,0
1,0,0.8701298701298701,0
1,0,0.7922077922077922,0
0.987012987012987,0,0.935064935064935,0
0.948051948051948,0.4632352941176471,0.8701298701298701,0.46825396825396826
0.961038961038961,0.02631578947368421,0.8181818181818182,0
1,0,0.935064935064935,0
0.961038961038961,0.013333333333333334,0.8961038961038961,0
0.961038961038961,0,0.8311688311688312,0
0.974025974025974,0,0.9090909090909091,0
1,0,0.8831168831168831,0
0.961038961038961,0,0.8831168831168831,0
1,0,0.8961038961038961,0
1,0,0.8441558441558441,0
0.987012987012987,0,0.8571428571428571,0
0.987012987012987,0,0.935064935064935,0
0.987012987012987,0,0.8701298701298701,0
0.961038961038961,0.1956521739130435,0.8051948051948052,0.18421052631578946
0.987012987012987,0,0.8181818181818182,0
0.974025974025974,0,0.9090909090909091,0
0.9868421052631579,0.025974025974025976,0.8961038961038961,0
0.987012987012987,0,0.8831168831168831,0
1,0,0.974025974025974,0
0.974025974025974,0.013157894736842105,0.948051948051948,0
0.9605263157894737,0.013513513513513514,0.8831168831168831,0
0.948051948051948,0,0.8311688311688312,0
1,0,0.9090909090909091,0
0.935064935064935,0,0.7922077922077922,0
0.987012987012987,0,0.922077922077922,0
0.987012987012987,0.2549019607843137,0.8961038961038961,0.25
0.987012987012987,0.012987012987012988,0.8961038961038961,0
1,0,0.8961038961038961,0
0.961038961038961,0.44360902255639095,0.8441558441558441,0.47580645161290325
0.974025974025974,0.013157894736842105,0.8311688311688312,0
0.948051948051948,0,0.8701298701298701,0
0.987012987012987,0.012987012987012988,0.9090909090909091,0
0.987012987012987,0.012987012987012988,0.8831168831168831,0
0.987012987012987,0,0.9090909090909091,0
0.961038961038961,0.013333333333333334,0.8701298701298701,0
0.987012987012987,0,0.935064935064935,0
