X1,X2,X3,X4
1,0,0.959183673,0
0.979591837,0,0.93877551,0
0.918367347,0,0.836734694,0
1,0.02,0.979591837,0
1,0.075471698,1,0.057692308
1,0.257575758,0.93877551,0.163636364
1,0.257575758,0.979591837,0.261538462
1,0.075471698,1,0.039215686
1,0,1,0
0.979591837,0,0.918367347,0
1,0.183333333,0.93877551,0.163636364
0.714285714,0,0.591836735,0
1,0,0.959183673,0
0.959183673,0,0.836734694,0
0.530612245,0,0.530612245,0
1,0.268656716,1,0.155172414
1,0,0.93877551,0
1,0.279411765,1,0.209677419
0.979591837,0,0.959183673,0
0.959183673,0,0.87755102,0
1,0,1,0
0.404761905,0,0.392857143,0
0.488095238,0,0.488095238,0
0.5,0,0.476190476,0
0.464285714,0,0.369047619,0
0.535714286,0,0.523809524,0
0.428571429,0,0.392857143,0
0.5,0,0.428571429,0
0.523809524,0,0.511904762,0
0.44047619,0,0.416666667,0
0.44047619,0,0.380952381,0
0.5,0,0.488095238,0
0.511904762,0,0.488095238,0
0.523809524,0,0.5,0
0.511904762,0,0.5,0
0.523809524,0,0.523809524,0
0.5,0,0.452380952,0
0.5,0,0.488095238,0
0.488095238,0,0.452380952,0
0.464285714,0,0.44047619,0
0.511904762,0,0.464285714,0
0.5,0,0.44047619,0
0.523809524,0,0.476190476,0
0.369047619,0,0.357142857,0
0.511904762,0,0.511904762,0
0.511904762,0,0.476190476,0
0.5,0,0.488095238,0
0.357142857,0,0.345238095,0
0.523809524,0,0.5,0
0.511904762,0,0.488095238,0
0.5,0,0.488095238,0
0.511904762,0,0.511904762,0
0.488095238,0,0.476190476,0
0.523809524,0,0.452380952,0
0.488095238,0,0.488095238,0
0.511904762,0,0.44047619,0
0.488095238,0,0.476190476,0
0.5,0,0.476190476,0
0.5,0,0.488095238,0
0.511904762,0,0.488095238,0
0.428571429,0,0.416666667,0
0.511904762,0,0.5,0
0.452380952,0,0.452380952,0
0.488095238,0,0.488095238,0
0.5,0,0.476190476,0
0.5,0,0.5,0
0.488095238,0,0.452380952,0
0.535714286,0,0.464285714,0
0.523809524,0,0.523809524,0
0.511904762,0,0.476190476,0
0.464285714,0,0.464285714,0
0.523809524,0,0.511904762,0
0.428571429,0,0.416666667,0
0.5,0,0.488095238,0
0.523809524,0,0.511904762,0
0.523809524,0,0.488095238,0
0.416666667,0,0.404761905,0
0.5,0,0.476190476,0
0.511904762,0,0.488095238,0
0.523809524,0,0.5,0
0.535714286,0,0.511904762,0
0.535714286,0,0.523809524,0
0.511904762,0,0.488095238,0
0.511904762,0,0.5,0
0.5,0,0.488095238,0
0.5,0,0.488095238,0
0.523809524,0,0.464285714,0
0.488095238,0,0.488095238,0
0.5,0,0.380952381,0
0.369047619,0,0.321428571,0
0.5,0,0.5,0
